d:cdsxmatch,i:fid,i:jd,i:magpsf,i:objectId,i:sigmapsf
Orion_V*,1,2459141.9094676,17.132795,ZTF18aabfdpx,0.065695405
Orion_V*,1,2459139.8831019,17.39211,ZTF18aabfdpx,0.081793234
TTau*,2,2459136.9782639,15.843851,ZTF18aabfdpx,0.06972972
Orion_V*,1,2459136.8969444,17.476181,ZTF18aabfdpx,0.0824487
Orion_V*,1,2459134.8910648,17.71321,ZTF18aabfdpx,0.059538443
Orion_V*,1,2459125.932338,17.366669,ZTF18aabfdpx,0.053507827
Orion_V*,2,2459124.8287384,16.377205,ZTF18aabfdpx,0.041575238
Orion_V*,1,2459122.8523611,16.779186,ZTF18aabfdpx,0.034297140000000004
Orion_V*,2,2459121.954456,15.246146,ZTF18aabfdpx,0.055158246
Orion_V*,1,2459121.868206,17.046366,ZTF18aabfdpx,0.047278717000000005
Orion_V*,1,2459120.9448032,18.484632,ZTF18aabfdpx,0.105848655
TTau*,1,2459120.8528819,19.094046,ZTF18aabfdpx,0.12899026
Orion_V*,1,2459118.9571296,17.649082,ZTF18aabfdpx,0.055974945000000005
Orion_V*,1,2459117.9329051,19.033371,ZTF18aabfdpx,0.15968749000000002
Orion_V*,2,2459114.9725579,16.115217,ZTF18aabfdpx,0.045221437
Orion_V*,1,2459113.0232176,17.572428,ZTF18aabfdpx,0.076335914
TTau*,2,2459112.9089005,15.865826,ZTF18aabfdpx,0.05037834
Orion_V*,1,2459111.8912616,17.288239,ZTF18aabfdpx,0.07005367
Orion_V*,1,2459109.0109491,17.050386,ZTF18aabfdpx,0.06616442
Orion_V*,1,2459106.9867014,18.18604,ZTF18aabfdpx,0.11841239
Orion_V*,1,2459097.9487963,18.844694,ZTF18aabfdpx,0.14151494
Orion_V*,2,2459095.9213657,15.259627,ZTF18aabfdpx,0.037391268000000005
Orion_V*,1,2459092.9211806,17.121975,ZTF18aabfdpx,0.05393074
Orion_V*,1,2459091.9219213,17.118067,ZTF18aabfdpx,0.060262147
Orion_V*,1,2459090.9286111,18.27291,ZTF18aabfdpx,0.07787586
