# Name,RA,DEC,Source
2MASS J00090485+5816480,00:09:04.85,+58:16:48.05,Capistrant+2022
2MASS J11120984-7634366,11:12:09.85,-76:34:36.61,Capistrant+2022
2MASS J10284580-2830374,10:28:45.81,-28:30:37.46,Capistrant+2022
2MASS J23225321+6205103,23:22:53.22,+62:05:10.31,Capistrant+2022
2MASS J05273383+0438504,05:27:33.84,+04:38:50.46,Capistrant+2022
2MASS J22114281+6036433,22:11:42.81,+60:36:43.34,Capistrant+2022
2MASS J15424255-4408527,15:42:42.55,-44:08:52.78,Capistrant+2022
2MASS J05274650+0312155,05:27:46.50,+03:12:15.58,Capistrant+2022
2MASS J21005285+7703148,21:00:52.85,+77:03:14.90,Capistrant+2022
2MASS J15253383-6106363,15:25:33.84,-61:06:36.37,Capistrant+2022
2MASS J05253924-1316066,05:25:39.24,-13:16:06.70,Capistrant+2022
2MASS J05364363+8257032,05:36:43.64,+82:57:03.26,Capistrant+2022
2MASS J05320641+1229222,05:32:06.41,+12:29:22.24,Capistrant+2022
2MASS J03262821+3112078,03:26:28.22,+31:12:07.87,Capistrant+2022
2MASS J18412872-3749198,18:41:28.73,-37:49:19.87,Capistrant+2022
2MASS J11104959-7717517,11:10:49.60,-77:17:51.75,Capistrant+2022
2MASS J18223063-3327291,18:22:30.64,-33:27:29.10,Capistrant+2022
2MASS J15462581-3143193,15:46:25.82,-31:43:19.36,Capistrant+2022
2MASS J21023299+6807290,21:02:33.00,+68:07:29.07,Capistrant+2022
2MASS J00050539+5939015,00:05:05.40,+59:39:01.57,Capistrant+2022
2MASS J05391730+0942072,05:39:17.30,+09:42:07.25,Capistrant+2022
2MASS J00132014+7702137,00:13:20.14,+77:02:13.79,Capistrant+2022
2MASS J05255605-0216016,05:25:56.05,-02:16:01.61,Capistrant+2022
2MASS J10555973-7724399,10:55:59.73,-77:24:39.91,Capistrant+2022
2MASS J22185443+5846573,22:18:54.43,+58:46:57.33,Capistrant+2022
2MASS J22142051+6043111,22:14:20.52,+60:43:11.18,Capistrant+2022
2MASS J05304799-0731323,05:30:48.00,-07:31:32.37,Capistrant+2022
2MASS J05430178-0804506,05:43:01.78,-08:04:50.62,Capistrant+2022
2MASS J05292326-0125153,05:29:23.26,-01:25:15.31,Capistrant+2022
2MASS J05320650+1224044,05:32:06.51,+12:24:04.46,Capistrant+2022
2MASS J13373839-4736297,13:37:38.40,-47:36:29.73,Tajiri+2019 Capistrant+2022
2MASS J08082235-4710594,08:08:22.36,-47:10:59.49,Capistrant+2022
2MASS J03410913+3144378,03:41:09.14,+31:44:37.86,Capistrant+2022
2MASS J06394147+0946196,06:39:41.48,+09:46:19.69,Cody+14 Capistrant+2022
2MASS J08132189-4753093,08:13:21.90,-47:53:09.39,Capistrant+2022
2MASS J16223956-3513059,16:22:39.56,-35:13:05.92,Capistrant+2022
2MASS J05452713-0039502,05:45:27.13,-00:39:50.25,Capistrant+2022
2MASS J03523442+3533589,03:52:34.43,+35:33:58.97,Capistrant+2022
2MASS J16014813-3608468,16:01:48.13,-36:08:46.82,Capistrant+2022
2MASS J01002182+7114245,01:00:21.82,+71:14:24.51,Capistrant+2022
2MASS J20430410+6419159,20:43:04.11,+64:19:15.98,Capistrant+2022
2MASS J16004943-4130038,16:00:49.44,-41:30:03.86,Capistrant+2022
2MASS J13065744-7723415,13:06:57.45,-77:23:41.55,Capistrant+2022
2MASS J05432207-0808471,05:43:22.07,-08:08:47.10,Capistrant+2022
2MASS J04352550+3419015,04:35:25.50,+34:19:01.55,Capistrant+2022
2MASS J18564863-3626397,18:56:48.63,-36:26:39.79,Capistrant+2022
2MASS J11044258-7741571,11:04:42.58,-77:41:57.13,Capistrant+2022
2MASS J04504003+1619460,04:50:40.03,+16:19:46.00,Capistrant+2022
2MASS J07313667-4700132,07:31:36.68,-47:00:13.28,Capistrant+2022
2MASS J06405059+0954573,06:40:50.59,+09:54:57.35,Cody+14 Capistrant+2022
2MASS J05254589+0145500,05:25:45.89,+01:45:50.09,Capistrant+2022
2MASS J12014441-7819267,12:01:44.42,-78:19:26.77,Capistrant+2022
2MASS J15462516-3143308,15:46:25.16,-31:43:30.89,Capistrant+2022
2MASS J05303840-0525436,05:30:38.41,-05:25:43.64,Capistrant+2022
2MASS J05413322-0755022,05:41:33.22,-07:55:02.24,Capistrant+2022
2MASS J20410150+6517071,20:41:01.51,+65:17:07.14,Capistrant+2022
2MASS J13074851-7741214,13:07:48.52,-77:41:21.43,Capistrant+2022
2MASS J11064180-7635489,11:06:41.81,-76:35:48.98,Capistrant+2022
2MASS J07492157-3443230,07:49:21.58,-34:43:23.10,Capistrant+2022
2MASS J05341196+1133168,05:34:11.96,+11:33:16.81,Capistrant+2022
2MASS J05322569-0157112,05:32:25.69,-01:57:11.24,Capistrant+2022
2MASS J07035859-1129377,07:03:58.60,-11:29:37.71,Capistrant+2022
2MASS J05360690-0420376,05:36:06.90,-04:20:37.64,Capistrant+2022
2MASS J04370345-0644205,04:37:03.46,-06:44:20.56,Capistrant+2022
2MASS J05400505-0629246,05:40:05.05,-06:29:24.64,Capistrant+2022
2MASS J05320778-0655368,05:32:07.78,-06:55:36.84,Capistrant+2022
2MASS J08133247-3825241,08:13:32.48,-38:25:24.19,Capistrant+2022
2MASS J22155312+6036470,22:15:53.13,+60:36:47.08,Capistrant+2022
2MASS J05265740+0314585,05:26:57.40,+03:14:58.57,Capistrant+2022
2MASS J13072331-7737230,13:07:23.31,-77:37:23.08,Capistrant+2022
2MASS J02590146-4232204,02:59:01.46,-42:32:20.42,Capistrant+2022
2MASS J05412651-0858394,05:41:26.51,-08:58:39.45,Capistrant+2022
2MASS J22460502+7503280,22:46:05.03,+75:03:28.08,Capistrant+2022
2MASS J06320799-6810419,06:32:07.99,-68:10:41.98,Tajiri+2019 Capistrant+2022
2MASS J08233750-4358184,08:23:37.50,-43:58:18.40,Capistrant+2022
2MASS J05265762+0314552,05:26:57.62,+03:14:55.25,Capistrant+2022
2MASS J11421710-5708026,11:42:17.11,-57:08:02.63,Capistrant+2022
2MASS J05383828+0924322,05:38:38.29,+09:24:32.26,Capistrant+2022
2MASS J04303911+3544497,04:30:39.11,+35:44:49.73,Capistrant+2022
2MASS J06311908+0942436,06:31:19.08,+09:42:43.63,Capistrant+2022
2MASS J05333439-0613526,05:33:34.40,-06:13:52.67,Capistrant+2022
2MASS J01295445+6303323,01:29:54.46,+63:03:32.38,Capistrant+2022
2MASS J05305785-0040376,05:30:57.85,-00:40:37.68,Capistrant+2022
2MASS J05304878+1005218,05:30:48.78,+10:05:21.85,Capistrant+2022
2MASS J02142364-5011375,02:14:23.64,-50:11:37.56,Capistrant+2022
2MASS J11105076-7718031,11:10:50.77,-77:18:03.20,Capistrant+2022
2MASS J13051269-7730525,13:05:12.70,-77:30:52.57,Capistrant+2022
2MASS J05265537+0140224,05:26:55.38,+01:40:22.49,Capistrant+2022
2MASS J05332757+1047429,05:33:27.58,+10:47:42.93,Capistrant+2022
2MASS J11142454-7733062,11:14:24.54,-77:33:06.22,Tajiri+2019 Capistrant+2022
2MASS J05354241+1056360,05:35:42.42,+10:56:36.09,Capistrant+2022
2MASS J13005346-7709086,13:00:53.46,-77:09:08.66,Capistrant+2022
2MASS J08130398-3839241,08:13:03.99,-38:39:24.13,Capistrant+2022
2MASS J20590282+7545297,20:59:02.83,+75:45:29.72,Capistrant+2022
2MASS J05265705-0353480,05:26:57.05,-03:53:48.09,Capistrant+2022
2MASS J05363861+0935052,05:36:38.61,+09:35:05.22,Capistrant+2022
2MASS J05380477-0117187,05:38:04.77,-01:17:18.78,Capistrant+2022
2MASS J05380924-0110432,05:38:09.24,-01:10:43.23,Capistrant+2022
2MASS J05413472-0217241,05:41:34.72,-02:17:24.14,Capistrant+2022
2MASS J13095036-7757240,13:09:50.37,-77:57:24.02,Capistrant+2022
2MASS J05384949-0451083,05:38:49.50,-04:51:08.32,Capistrant+2022
2MASS J11075809-7742413,11:07:58.09,-77:42:41.32,Capistrant+2022
2MASS J05321496-0158263,05:32:14.97,-01:58:26.39,Capistrant+2022
2MASS J05235147+0037007,05:23:51.48,+00:37:00.72,Capistrant+2022
2MASS J11085090-7625135,11:08:50.91,-76:25:13.59,Capistrant+2022
2MASS J13504033-5217342,13:50:40.34,-52:17:34.23,Capistrant+2022
2MASS J05505042+0226492,05:50:50.43,+02:26:49.24,Capistrant+2022
2MASS J05371465-0101504,05:37:14.66,-01:01:50.50,Capistrant+2022
2MASS J05260976+1123373,05:26:09.76,+11:23:37.31,Capistrant+2022
2MASS J04312387-1109168,04:31:23.88,-11:09:16.86,Tajiri+2019 Capistrant+2022
2MASS J13063053-7734001,13:06:30.54,-77:34:00.13,Capistrant+2022
2MASS J05331623+1027527,05:33:16.23,+10:27:52.77,Capistrant+2022
2MASS J05303638+1236566,05:30:36.38,+12:36:56.63,Capistrant+2022
2MASS J05340393+0952122,05:34:03.94,+09:52:12.30,Capistrant+2022
2MASS J05383902-0245321,05:38:39.03,-02:45:32.17,Capistrant+2022
2MASS J11045701-7715569,11:04:57.01,-77:15:56.94,Capistrant+2022
2MASS J03323300+3102216,03:32:33.01,+31:02:21.67,Capistrant+2022
2MASS J03344079+4130255,03:34:40.79,+41:30:25.54,Capistrant+2022
2MASS J04442668+5407348,04:44:26.68,+54:07:34.89,Capistrant+2022
2MASS J13305230-5218578,13:30:52.31,-52:18:57.90,Tajiri+2019 Capistrant+2022
2MASS J05235157+0037038,05:23:51.57,+00:37:03.85,Capistrant+2022
2MASS J07314563-4659177,07:31:45.64,-46:59:17.74,Capistrant+2022
2MASS J04302843+3532419,04:30:28.43,+35:32:41.94,Capistrant+2022
2MASS J10581804-7717197,10:58:18.04,-77:17:19.77,Capistrant+2022
2MASS J08082221-6443577,08:08:22.22,-64:43:57.76,Capistrant+2022
2MASS J08523866-4208072,08:52:38.67,-42:08:07.22,Capistrant+2022
2MASS J05425515+0914492,05:42:55.15,+09:14:49.28,Capistrant+2022
2MASS J05293881-0119179,05:29:38.81,-01:19:17.92,Capistrant+2022
2MASS J05435067+0912250,05:43:50.67,+09:12:25.03,Capistrant+2022
2MASS J11091812-7630292,11:09:18.13,-76:30:29.25,Capistrant+2022
2MASS J05315294-0139338,05:31:52.94,-01:39:33.84,Capistrant+2022
2MASS J03292421-3514293,03:29:24.22,-35:14:29.31,Capistrant+2022
2MASS J05354104+0913196,05:35:41.04,+09:13:19.68,Capistrant+2022
2MASS J05354973+0847460,05:35:49.74,+08:47:46.00,Capistrant+2022
2MASS J05282497+0907047,05:28:24.97,+09:07:04.75,Capistrant+2022
2MASS J17181196-3227394,17:18:11.96,-32:27:39.47,Capistrant+2022
2MASS J05320222+1014028,05:32:02.23,+10:14:02.89,Capistrant+2022
2MASS J05363082+0910009,05:36:30.83,+09:10:00.98,Capistrant+2022
2MASS J09223466-6317413,09:22:34.67,-63:17:41.35,Capistrant+2022
2MASS J05415977+0918518,05:41:59.77,+09:18:51.84,Capistrant+2022
2MASS J16092697-3836269,16:09:26.98,-38:36:26.92,Capistrant+2022
2MASS J17052890-3533293,17:05:28.91,-35:33:29.30,Capistrant+2022
2MASS J05120245-0319125,05:12:02.46,-03:19:12.57,Capistrant+2022
2MASS J05321106-0636240,05:32:11.06,-06:36:24.08,Capistrant+2022
2MASS J05434415+0950390,05:43:44.16,+09:50:39.05,Capistrant+2022
2MASS J05365983-0120245,05:36:59.83,-01:20:24.53,Capistrant+2022
2MASS J05435658+0918169,05:43:56.59,+09:18:16.93,Capistrant+2022
2MASS J05351218+0953051,05:35:12.18,+09:53:05.14,Capistrant+2022
2MASS J05414501-0416033,05:41:45.02,-04:16:03.32,Capistrant+2022
2MASS J05415466-0759124,05:41:54.66,-07:59:12.41,Capistrant+2022
2MASS J05315549-0252192,05:31:55.50,-02:52:19.29,Capistrant+2022
2MASS J05394801+0951026,05:39:48.01,+09:51:02.66,Tajiri+2019 Capistrant+2022
2MASS J05432234-0808500,05:43:22.35,-08:08:50.07,Capistrant+2022
2MASS J05425834-0801019,05:42:58.35,-08:01:01.94,Capistrant+2022
2MASS J05275933-0156250,05:27:59.33,-01:56:25.08,Capistrant+2022
2MASS J05300324-0138428,05:30:03.24,-01:38:42.87,Capistrant+2022
2MASS J05313386+1032199,05:31:33.87,+10:32:19.94,Capistrant+2022
2MASS J00075598+6534000,00:07:55.98,+65:34:00.08,Capistrant+2022
2MASS J11142611-7733042,11:14:26.11,-77:33:04.29,Capistrant+2022
2MASS J07522144-4847585,07:52:21.44,-48:47:58.60,Capistrant+2022
2MASS J05345443-0144473,05:34:54.43,-01:44:47.30,Capistrant+2022
2MASS J08492818-4144440,08:49:28.18,-41:44:44.00,Capistrant+2022
2MASS J05353848-0438323,05:35:38.49,-04:38:32.31,Capistrant+2022
2MASS J05120264-0319005,05:12:02.64,-03:19:00.58,Tajiri+2019 Capistrant+2022
2MASS J05432321+0905316,05:43:23.22,+09:05:31.68,Capistrant+2022
2MASS J11120351-7726009,11:12:03.51,-77:26:00.99,Capistrant+2022
